model,term,coefficient,standard_error,p_value,ci_low_coef,ci_high_coef,odds_ratio,ci_low_or,ci_high_or,is_contact_term
glm_contact_x_age,const,-2.417218226129523,0.12608563904823475,6.435461532594788e-82,-2.6643415376317803,-2.170094914627266,0.08916932166015866,0.06964519717992479,0.11416678029916988,False
glm_contact_x_age,num__contact_binary,0.37038584137721164,0.0351804381905936,6.406385885368072e-26,0.30143344956331075,0.43933823319111254,1.4482933183594535,1.3517951495869964,1.551680028327877,True
glm_contact_x_age,num__age,-0.013245421880271708,0.025473463433929595,0.603084892536568,-0.06317249277227173,0.03668164901172831,0.9868419127004289,0.9387815266940948,1.0373627228175908,False
glm_contact_x_age,num__previous,0.06747738696457234,0.015636709685003383,1.593727488192141e-05,0.03682999914525706,0.09812477478388762,1.0698060677618666,1.037516627131619,1.103100415637887,False
glm_contact_x_age,num__emp.var.rate,-2.385312478784071,0.21212889856102157,2.4610677663233356e-29,-2.8010774800438236,-1.9695474775243182,0.09206020822236932,0.060744576282724824,0.13951997785778003,False
glm_contact_x_age,num__cons.price.idx,1.286086265048975,0.13874787963830212,1.874912921858341e-20,1.0141454180266045,1.5580271120713456,3.6185965780584732,2.7570063024676967,4.749441879409674,False
glm_contact_x_age,num__cons.conf.idx,0.18247112905845989,0.034808044079283264,1.586633496835778e-07,0.11424861629078202,0.25069364182613774,1.200179500141193,1.1210307967600766,1.2849163793913554,False
glm_contact_x_age,num__euribor3m,0.308965458402239,0.2165136274052997,0.1535792128845291,-0.11539345347427282,0.7333243702787509,1.3620153235054386,0.8910155017858659,2.0819904230010238,False
glm_contact_x_age,num__nr.employed,0.5144416949262982,0.21442705460163766,0.016433385084214228,0.09417239059608473,0.9347109992565117,1.6727043617222697,1.0987491436113288,2.546477417519106,False
glm_contact_x_age,cat__job_blue-collar,-0.15883726534713474,0.0753484134434206,0.03502776393873035,-0.30651744198847275,-0.011157088705796736,0.8531351823308831,0.7360056806648064,0.9889049207790337,False
glm_contact_x_age,cat__job_entrepreneur,-0.062276988655928706,0.11841115910789414,0.5989309306024321,-0.2943585958750432,0.1698046185631858,0.9396225859454013,0.7450092862798884,1.1850732873778362,False
glm_contact_x_age,cat__job_housemaid,-0.05381253526135686,0.13810559790544968,0.6967970391728749,-0.3244945332194086,0.21686946269669483,0.9476097332628828,0.7228926595346258,1.2421819404731973,False
glm_contact_x_age,cat__job_management,-0.01805395149144089,0.08171105274344873,0.8251323713883949,-0.17820467200745319,0.14209676902457138,0.9821080447351633,0.836771142331657,1.1526881876517063,False
glm_contact_x_age,cat__job_retired,0.3264856467087978,0.10210718886816728,0.0013863424843973988,0.12635923396456084,0.5266120594530348,1.3860883546904421,1.134689714161046,1.6931861662542367,False
glm_contact_x_age,cat__job_self-employed,-0.08787691309299468,0.11385665017062532,0.4402206628399614,-0.3110318468277965,0.13527802064180716,0.9158736018345484,0.7326905416282663,1.1448550334405299,False
glm_contact_x_age,cat__job_services,-0.17655463093420665,0.0834183550990396,0.03430262870873345,-0.34005160257789746,-0.01305765929051586,0.8381529888236239,0.7117335945267282,0.9870272220901782,False
