model,term,coefficient,standard_error,p_value,ci_low_coef,ci_high_coef,odds_ratio,ci_low_or,ci_high_or,is_contact_term
glm_main,const,-2.416325955260308,0.12610480879638353,7.797565165120155e-82,-2.663486838778529,-2.1691650717420865,0.08924892035482092,0.06970474829559885,0.11427298683759973,False
glm_main,num__contact_binary,0.37007063910994664,0.035164270178896624,6.693115577757321e-26,0.3011499360166734,0.4389913422032199,1.447836884960042,1.3514119516732765,1.5511418578585967,True
glm_main,num__age,-0.017496163112475805,0.024063164174513443,0.46716886228894006,-0.06465909824859666,0.029666772023645042,0.98265600599841,0.9373869657732208,1.0301112148793787,False
glm_main,num__previous,0.06747678444217509,0.0156370374999192,1.5946584535904014e-05,0.03682875411743121,0.09812481476691896,1.0698054231799443,1.0375153353953526,1.1031004597431864,False
glm_main,num__emp.var.rate,-2.383094363360882,0.2120219027553105,2.598237298638869e-29,-2.7986496566949444,-1.9675390700268198,0.09226463502739832,0.06089223255248362,0.13980047240675209,False
glm_main,num__cons.price.idx,1.2845960806546057,0.13867042725952242,1.9753688109104973e-20,1.0128070375051603,1.5563851238040511,3.6132082177307066,2.7533188470946306,4.741649750610232,False
glm_main,num__cons.conf.idx,0.1822484147639451,0.03479896245822923,1.6304905023968366e-07,0.11404370164645439,0.2504531278814358,1.1999122327737641,1.1208011046675186,1.284607376245608,False
glm_main,num__euribor3m,0.30875922853426757,0.21650539074297753,0.15383829132610202,-0.11558353978073999,0.7331019968492751,1.3617344642268783,0.8908461480365507,2.081527495123863,False
glm_main,num__nr.employed,0.5134944903997906,0.21436837229163794,0.01660298348728542,0.09334020128370613,0.933648779515875,1.671120718714653,1.0978351566748579,2.543773935037559,False
glm_main,cat__job_blue-collar,-0.15931314618073766,0.07533937180105339,0.034463475586884784,-0.30697560152867487,-0.011650690832800459,0.8527292882354097,0.7356685498763077,0.9884169156568241,False
glm_main,cat__job_entrepreneur,-0.06241583582040043,0.11841502937815489,0.5981284050647278,-0.29450502862983646,0.16967335698903557,0.9394921310705234,0.7449002005048121,1.1849177430013749,False
glm_main,cat__job_housemaid,-0.053656928336699945,0.13813847093725223,0.6976989070393365,-0.32440335625314726,0.21708949957974738,0.947757199372327,0.7229585736991357,1.2424552963886522,False
glm_main,cat__job_management,-0.017976949548310632,0.08171297072081421,0.8258702398241557,-0.17813142923088243,0.14217753013426115,0.9821836718746528,0.8368324320179616,1.1527812837880904,False
glm_main,cat__job_retired,0.3244681859844091,0.10212197881041647,0.001486731450940742,0.12431278548603023,0.524623586482788,1.383294794770548,1.1323700045146041,1.6898226565613823,False
glm_main,cat__job_self-employed,-0.08776466161307554,0.11384073991284145,0.4407410301855642,-0.31088841181563626,0.13535908858948514,0.9159764157721735,0.7327956426424169,1.144947848250582,False
glm_main,cat__job_services,-0.17726338854736665,0.0833951528639941,0.03353792706175589,-0.3407148846460074,-0.013811892448725882,0.8375591519798532,0.7112616709227408,0.9862830541045846,False
glm_main,cat__job_student,0.14856422192649715,0.10877413499116027,0.1720002791303784,-0.06462916510567504,0.3617576089586694,1.1601673035612425,0.9374150251311905,1.4358508623906412,False
glm_main,cat__job_technician,-0.0010184182251106505,0.06810423386097572,0.9880690252455754,-0.13450026378731628,0.13246342733709499,0.9989821001867284,0.8741526482861606,1.1416372626109061,False
glm_main,cat__job_unemployed,0.020992810976362318,0.12102164300256381,0.8622872897263409,-0.21620525065852658,0.25819087261125123,1.0212147100744495,0.805569941142952,1.2945858960337975,False
glm_main,cat__job_unknown,0.032848456627039065,0.21861821264535583,0.8805635173403441,-0.3956353665223774,0.4613322797764555,1.0333939233738114,0.6732521414554963,1.5861858211950595,False
glm_main,cat__marital_married,0.07318945722867032,0.06643170605275049,0.270581337322353,-0.05701429406627215,0.20339320852361278,1.075934361148401,0.9445805673727949,1.2255542719025017,False
glm_main,cat__marital_single,0.1518501993114724,0.07555558631546679,0.044454348070745976,0.003763971302350122,0.29993642732059467,1.1639858574885074,1.0037710639383668,1.3497729961624463,False
glm_main,cat__marital_unknown,0.5009066766496866,0.37451592217079127,0.18106677193084608,-0.23313104244187022,1.2349443957412434,1.6502168056589746,0.7920497745868849,3.4381873375315046,False
glm_main,cat__education_basic.6y,0.1537629727908393,0.11208403039927473,0.17010876129897512,-0.06591769003383172,0.3734436356155103,1.1662144294642822,0.9362079203625856,1.4527286790780007,False
glm_main,cat__education_basic.9y,-0.06188145664889663,0.09057783512002374,0.49448968220278644,-0.2394107512817504,0.11564783798395714,0.9399943102622592,0.7870915171163771,1.1226004652706418,False
glm_main,cat__education_high.school,0.028067177057841806,0.08720382149060642,0.7475608852164748,-0.14284917237800673,0.19898352649369036,1.0284647713383037,0.8668848092099309,1.2201618653901218,False
glm_main,cat__education_illiterate,0.8938316491341198,0.6888727436430913,0.1944495895090257,-0.4563341183376326,2.2439974166058723,2.4444781122834676,0.6336021036469133,9.430955495632146,False
glm_main,cat__education_professional.course,0.04573105175102275,0.09598442372366878,0.6337592149528639,-0.14239496182419997,0.2338570653262455,1.0467928399932676,0.86727864687505,1.2634638865022587,False
glm_main,cat__education_university.degree,0.1117061997940165,0.08700430328040945,0.199171417674621,-0.05881910113558611,0.28223150072361913,1.1181842896056755,0.942877319166802,1.3260856742485239,False
glm_main,cat__education_unknown,0.08235780984128432,0.11424749094434895,0.4709883116626731,-0.1415631577337056,0.30627877741627424,1.085844266093178,0.8680003529185263,1.3583609341206142,False
glm_main,cat__housing_unknown,-0.012618727190569369,0.06452498377329915,0.8449518856235609,-0.1390853714892671,0.11384791710812839,0.987460555116405,0.8701537389666075,1.1205816906203256,False
glm_main,cat__housing_yes,-0.05414864898915028,0.0395188947891242,0.1706255890170687,-0.13160425948466134,0.023306961506360774,0.9472912821438368,0.8766878673475565,1.023580691199371,False
glm_main,cat__loan_unknown,-0.012618727190568927,0.06452498377329906,0.844951885623566,-0.13908537148926647,0.11384791710812862,0.9874605551164054,0.8701537389666081,1.120581690620326,False
